strain,strain_intervals,g14_phi_1,g14_Phi,g14_phi_2,g72_phi_1,g72_Phi,g72_phi_2,g95_phi_1,g95_Phi,g95_phi_2,g101_phi_1,g101_Phi,g101_phi_2,g207_phi_1,g207_Phi,g207_phi_2,g240_phi_1,g240_Phi,g240_phi_2,g262_phi_1,g262_Phi,g262_phi_2,g287_phi_1,g287_Phi,g287_phi_2,stress,average_strain,average_stress
0.04,0.04,1.287603442263335,2.2291481923823087,4.2352248235740975,0.11509963800298452,2.892795456644864,1.9423086929151423,1.716951025081875,1.993336766092543,3.442499636254785,1.5874365025366237,2.4451394350607245,3.478776108175513,1.9845756730801498,1.8843603911863196,3.80695466886942,2.3624487714977187,2.4044631047409246,3.7482414950583904,1.4055362737869017,2.4137848004679063,3.862152467906114,2.1607531582960537,2.3853578472490993,3.6901892465471002,438.5255569502446,0.04,438.5255569502446
0.041,0.041,1.287881729471397,2.2292704247386363,4.23550814081,0.1147873314324799,2.8928614599555953,1.941537629447775,1.7173345041905541,1.993041237108598,3.442234076101541,1.5870801495926008,2.445376383284132,3.479027023856007,1.9847405451674762,1.8840328720761632,3.8066919509590313,2.362759508199694,2.404281001491689,3.748039923645654,1.4062840402127348,2.4144529289518966,3.862666784239119,2.1609112494503737,2.38547585521977,3.6897068157627793,440.58970378393263,0.041,440.58970378393263
0.042,0.042,1.2881398365410361,2.22939132378611,4.235797889770003,0.1145414152885487,2.8929295776801887,1.9407839416082664,1.7177268526573302,1.9927524267709777,3.4419844562348256,1.5867373662081814,2.4456171385530294,3.479284516399632,1.9849133626430906,1.8837075225247304,3.806441995139224,2.363072400438332,2.4041141678731064,3.747846128929286,1.4070425481599922,2.4151157363194815,3.8631977843783245,2.1610650480109905,2.385595322027741,3.6892476668445977,442.7938792529767,0.042,442.7938792529767
0.043000000000000003,0.043000000000000003,1.2884065107871516,2.2294777809820734,4.236105441204079,0.11403861720280897,2.893002031588252,1.9398503889783851,1.7181483773388189,1.992413026223299,3.441690972322957,1.5863072255067576,2.4458723480875677,3.4795619226463144,1.9850967408169284,1.8833254188410729,3.806141879009289,2.363398787726945,2.4039122030793685,3.747620959788318,1.4078305404260916,2.415797402354168,3.8637591382177856,2.1611884109920187,2.3857193718904384,3.6887073504828845,445.04614119762397,0.043000000000000003,445.04614119762397
0.044,0.044,1.288671463849518,2.229550989804389,4.236413391529292,0.11345722529098316,2.893074543690206,1.9388723177565248,1.7185716831784457,1.9920625378094121,3.4413871897734527,1.58585389856101,2.446128252239884,3.479841407317669,1.9852803350300603,1.882930712866816,3.805829259256705,2.363724042130836,2.4037009289607387,3.7473888701599662,1.408615178617134,2.4164742996689585,3.8643201210956164,2.161300183692254,2.3858430024920283,3.6881486324295976,447.23470475224195,0.044,447.23470475224195
0.045,0.045,1.2889340792998094,2.2296239622577527,4.236714377454717,0.11289447189864173,2.8931461080858805,1.9379242584074001,1.7189862915742566,1.991720568245101,3.4410904995480376,1.5854102281958604,2.4463786883630463,3.4801141145068826,1.9854615630668901,1.8825441023001233,3.8055236925306493,2.364043131838043,2.403494539202904,3.7471657194705443,1.4093872180307745,2.417136224041837,3.864869428883445,2.1614071767384586,2.3859643745563197,3.687600242378108,449.4779633365705,0.045,449.4779633365705
0.046,0.046,1.289192051894547,2.22969575899929,4.2370087818263755,0.11234770617056059,2.8932162077717813,1.936998479147657,1.7193921924331272,1.991386034478848,3.4408004215935852,1.5849762376455963,2.4466236292944012,3.4803806958471837,1.9856391798854889,1.8821656343772408,3.8052247675691553,2.364355569020553,2.403292776755494,3.7469481629580783,1.4101437206695053,2.4177838687257913,3.865407011602512,2.161511447322931,2.386083177719307,3.6870634003045524,451.70801756812534,0.046,451.70801756812534
0.047,0.047,1.2894423126069063,2.2297760937874735,4.237307723227286,0.11187543234585534,2.8932900541700826,1.9361087791174765,1.719804861875468,1.9910640405152358,3.4405194315911225,1.58456926339207,2.446867834240498,3.480643813404839,1.9858179246391372,1.8818072700002635,3.804928729116178,2.364664247811807,2.403093860357968,3.746736910207194,1.4108898957091554,2.4184320373906454,3.865940858304091,2.1616185511520984,2.3862007018943876,3.6865294659646084,453.99408961927173,0.047,453.99408961927173
0.048,0.048,1.2896864578124638,2.229861845805135,4.237609918744395,0.1114541869281065,2.8933655262778015,1.9352476183050644,1.7202242548223914,1.9907476201082128,3.440244605253113,1.5841814248352861,2.447112455494222,3.480906042317903,1.985993412922251,1.8814627538090964,3.8046370015837505,2.3649679546354507,2.402896972201606,3.746530088306545,1.411632453627549,2.4190790254194914,3.866475782319928,2.161731650551037,2.3863169722330633,3.6860064059450424,456.29211939152947,0.048,456.29211939152947
0.049,0.049,1.28993668079811,2.229948604463922,4.237924596328405,0.11105818747068807,2.893443875798325,1.934341830810813,1.7206741577398181,1.9904091580625158,3.4399628757000613,1.5837845975964644,2.4473703326236977,3.481184137645836,1.9861668356518216,1.8811151456738415,3.8043375691921337,2.3652747692432117,2.402685040635302,3.746307719229723,1.412400064038328,2.4197492482758896,3.8670404385014083,2.1618653233415315,2.3864367318068287,3.6854847187438793,458.50040998200296,0.049,458.50040998200296
