param_type,param_name,out_u_bound,in_l_bound,out_l_bound,base,in_u_bound
output,g62_phi_1,1,0.16390643345775144,0,10,0.19587198945932768
output,g62_Phi,1,0.30657512809644905,0,10,0.3129808617233796
output,g62_phi_2,1,0.6614245802845223,0,10,0.6636538193120594
output,g63_phi_1,1,0.28053284445138243,0,10,0.32598746621444175
output,g63_Phi,1,0.48182945126399873,0,10,0.48675625461726846
output,g63_phi_2,1,0.5840597054578407,0,10,0.6076694366882427
output,g64_phi_1,1,-0.5410450429781347,0,10,-0.3867503210620461
output,g64_Phi,1,0.37505975358581245,0,10,0.37783422447054854
output,g64_phi_2,1,0.5260548247731112,0,10,0.5371387972512629
output,g66_phi_1,1,0.21362399341608687,0,10,0.22631629693933475
output,g66_Phi,1,0.20844135643856734,0,10,0.21465843887991837
output,g66_phi_2,1,0.6103939697123134,0,10,0.6112771040922638
output,g67_phi_1,1,-0.1534896995366082,0,10,-0.11349235459290095
output,g67_Phi,1,0.30489964033286515,0,10,0.33152851886869067
output,g67_phi_2,1,0.4869968884318225,0,10,0.4945302632558734
output,g68_phi_1,1,0.34419571587143494,0,10,0.35506820634885067
output,g68_Phi,1,0.3497824533634708,0,10,0.3627651265554263
output,g68_phi_2,1,0.6664805397615559,0,10,0.6701437633130851
output,g69_phi_1,1,-0.2737293252358203,0,10,-0.19407796494794333
output,g69_Phi,1,0.39239794321637145,0,10,0.4183841640386121
output,g69_phi_2,1,0.4756421375547005,0,10,0.4889030852677692
output,g70_phi_1,1,-0.04065327715791735,0,10,0.008472419302722143
output,g70_Phi,1,0.3135297732022901,0,10,0.3420869599045785
output,g70_phi_2,1,0.5073970576089503,0,10,0.5162708827293401
output,g72_phi_1,1,-1.4531489982186059,0,10,-0.805041877793412
output,g72_Phi,1,0.46046182672659935,0,10,0.462921830369343
output,g72_phi_2,1,0.2536287301937542,0,10,0.2980885693913816
output,g73_phi_1,1,0.2952371307315341,0,10,0.3099493842590159
output,g73_Phi,1,0.29721319598964135,0,10,0.3267249128021095
output,g73_phi_2,1,0.6608559954880793,0,10,0.6633522193645902
output,g74_phi_1,1,0.4017623021368253,0,10,0.4118384814029114
output,g74_Phi,1,0.36074484121040334,0,10,0.37219371927573414
output,g74_phi_2,1,0.6280004459889015,0,10,0.6323155412509909
output,g75_phi_1,1,0.3853202242009113,0,10,0.4280213440860496
output,g75_Phi,1,0.361538971269279,0,10,0.36908592082150776
output,g75_phi_2,1,0.7098209617099415,0,10,0.7194473043627562
output,g76_phi_1,1,0.29861294775994696,0,10,0.3331448760986189
output,g76_Phi,1,0.43469661892466566,0,10,0.4512182585137935
output,g76_phi_2,1,0.6240654103366919,0,10,0.6490523780756294
output,g77_phi_1,1,0.033021444682910656,0,10,0.07353506505878392
output,g77_Phi,1,0.2663963491885927,0,10,0.27538046752743395
output,g77_phi_2,1,0.5958928579419485,0,10,0.6002430162858409
output,g78_phi_1,1,0.6582308746636901,0,10,0.6676116982004789
output,g78_Phi,1,0.4618735328350759,0,10,0.4776420956558481
output,g78_phi_2,1,-0.305245675032217,0,10,-0.23093299511027188
output,g79_phi_1,1,-0.06863367643777883,0,10,-0.044067036328522255
output,g79_Phi,1,0.32531037171106114,0,10,0.33739935447189734
output,g79_phi_2,1,0.4795177267113793,0,10,0.48599100277067664
output,g80_phi_1,1,0.11521097670416817,0,10,0.15812115033749494
output,g80_Phi,1,0.3204371036828646,0,10,0.3262334209042398
output,g80_phi_2,1,0.629429988036405,0,10,0.6319102834584124
output,g81_phi_1,1,0.022964206517992806,0,10,0.05827414668595122
output,g81_Phi,1,0.3190643983685094,0,10,0.34147409402665757
output,g81_phi_2,1,0.5431364147862195,0,10,0.5485122563410354
output,g82_phi_1,1,0.3214119979740055,0,10,0.3656190022545034
output,g82_Phi,1,0.42926766643316844,0,10,0.44043676610577365
output,g82_phi_2,1,0.6396956174440528,0,10,0.662616190820862
output,g83_phi_1,1,0.21341149458278152,0,10,0.23152056097025073
output,g83_Phi,1,0.200303182981585,0,10,0.20571849810309406
output,g83_phi_2,1,0.617629297757842,0,10,0.6195107208384985
output,g84_phi_1,1,0.05068902775888096,0,10,0.07979606117235995
output,g84_Phi,1,0.40186560719961095,0,10,0.40805331429798053
output,g84_phi_2,1,0.48539487324901237,0,10,0.49190772091483065
output,g85_phi_1,1,-0.1512937337813246,0,10,-0.09794268919153337
output,g85_Phi,1,0.38419206967063924,0,10,0.39123512565330987
output,g85_phi_2,1,0.5741702197307929,0,10,0.5795435254299768
output,g86_phi_1,1,0.312410102994809,0,10,0.33763893218140867
output,g86_Phi,1,0.2677582166513658,0,10,0.28571479658290966
output,g86_phi_2,1,0.5664139206201558,0,10,0.5730109256733865
output,g87_phi_1,1,0.17225255242368825,0,10,0.20496061411560226
output,g87_Phi,1,0.3864811296820741,0,10,0.39847820021975555
output,g87_phi_2,1,0.540141698835551,0,10,0.542389669540937
output,g88_phi_1,1,0.18049862323201202,0,10,0.22188349178524042
output,g88_Phi,1,0.401176442169203,0,10,0.41428795843469507
output,g88_phi_2,1,0.5524126736029649,0,10,0.5575432913602916
output,g89_phi_1,1,0.1888160305023527,0,10,0.2213359795338283
output,g89_Phi,1,0.21165440055318238,0,10,0.22662567859580465
output,g89_phi_2,1,0.6283378335761184,0,10,0.632821582278979
output,g90_phi_1,1,0.28970041012870906,0,10,0.32598746621444175
output,g90_Phi,1,0.43415357106660085,0,10,0.4491851707276846
output,g90_phi_2,1,0.6474709938588463,0,10,0.6628805497388552
output,g91_phi_1,1,0.3142254709264968,0,10,0.3353575901491754
output,g91_Phi,1,0.43407365378505053,0,10,0.449277790579156
output,g91_phi_2,1,0.6611593333465511,0,10,0.6676303703051254
output,g92_phi_1,1,0.5176312941525835,0,10,0.5251744278352715
output,g92_Phi,1,0.44441956465863713,0,10,0.4498947519812109
output,g92_phi_2,1,0.7830670429657096,0,10,0.7865526798563854
output,g93_phi_1,1,0.22986094865499043,0,10,0.23711627053505724
output,g93_Phi,1,0.2039027811100605,0,10,0.21058602490515652
output,g93_phi_2,1,0.6189262621569374,0,10,0.6220481509192476
output,g95_phi_1,1,0.23075537404198568,0,10,0.2617623176096195
output,g95_Phi,1,0.2886292346649891,0,10,0.3046843659743861
output,g95_phi_2,1,0.5305326577490547,0,10,0.5382594603421657
output,g96_phi_1,1,0.32862420749020704,0,10,0.36662838129296776
output,g96_Phi,1,0.4677264661435818,0,10,0.47111561002987035
output,g96_phi_2,1,0.6922298357727555,0,10,0.7136081310952535
output,g97_phi_1,1,0.04785872740745677,0,10,0.07678603350807921
output,g97_Phi,1,0.40520971438463316,0,10,0.40935818993016515
output,g97_phi_2,1,0.4856504575326675,0,10,0.49315121779568605
output,g99_phi_1,1,0.41365175206369936,0,10,0.429978248073312
output,g99_Phi,1,0.38307895381208945,0,10,0.3887936723235016
output,g99_phi_2,1,0.6975431771575029,0,10,0.7018010428096672
output,g100_phi_1,1,-0.03313582685313651,0,10,0.023458237643675228
output,g100_Phi,1,0.4152405239139741,0,10,0.4281996092638772
output,g100_phi_2,1,0.609081916906643,0,10,0.6174721439721925
output,g101_phi_1,1,0.17201880942455647,0,10,0.20523143882000305
output,g101_Phi,1,0.3863919393501107,0,10,0.3955884635682437
output,g101_phi_2,1,0.5400916115325627,0,10,0.5462217592509095
output,g102_phi_1,1,0.030397300856761858,0,10,0.0751087964165001
output,g102_Phi,1,0.2540160608610366,0,10,0.2785478337758529
output,g102_phi_2,1,0.6120205227985599,0,10,0.6136198628763615
output,g103_phi_1,1,0.21919144021797882,0,10,0.23269123534846242
output,g103_Phi,1,0.20539385261467946,0,10,0.21295958903673617
output,g103_phi_2,1,0.6100423444394081,0,10,0.6113940113402915
output,g104_phi_1,1,0.23021893988738104,0,10,0.25336223983306855
output,g104_Phi,1,0.28445329401085284,0,10,0.3053728686412967
output,g104_phi_2,1,0.532346638573482,0,10,0.5381336872506688
output,g105_phi_1,1,-2.4960731958064892,0,10,0.7981324972646134
output,g105_Phi,1,0.46281711440950446,0,10,0.4694980145184654
output,g105_phi_2,1,0.4568820206232484,0,10,0.5236554374706319
output,g106_phi_1,1,0.4577002722181075,0,10,0.46480241289131846
output,g106_Phi,1,0.35301171103345275,0,10,0.3606312754267351
output,g106_phi_2,1,0.6588695922019623,0,10,0.6640493516544295
output,g107_phi_1,1,0.11975062388458418,0,10,0.14921911265537988
output,g107_Phi,1,0.2888972763225662,0,10,0.3002040512524661
output,g107_phi_2,1,0.6237143568159674,0,10,0.6330743818494913
output,g108_phi_1,1,0.0778037980760882,0,10,0.10301649032831525
output,g108_Phi,1,0.41730558324452544,0,10,0.4298652787345608
output,g108_phi_2,1,0.5193553922736518,0,10,0.5276427877567538
output,g109_phi_1,1,0.14563141529032783,0,10,0.16613397030510912
output,g109_Phi,1,0.3883676671573011,0,10,0.392802437083664
output,g109_phi_2,1,0.5236034121365691,0,10,0.530314982320532
output,g110_phi_1,1,0.24276497775209646,0,10,0.2655253352190738
output,g110_Phi,1,0.2852646804811535,0,10,0.29959445392492284
output,g110_phi_2,1,0.564689730881446,0,10,0.5713360868168943
output,g111_phi_1,1,0.28425021031208403,0,10,0.29725700659009247
output,g111_Phi,1,0.3680822440064455,0,10,0.3856062735983122
output,g111_phi_2,1,0.6008966969880873,0,10,0.6061555592866797
output,g112_phi_1,1,0.034146977106045626,0,10,0.04708007281625655
output,g112_Phi,1,0.35804911998674743,0,10,0.37016136667678035
output,g112_phi_2,1,0.5036136617725021,0,10,0.5074105590617641
output,g113_phi_1,1,0.39415387688205583,0,10,0.4052951230422869
output,g113_Phi,1,0.29587484521737917,0,10,0.31188095303790403
output,g113_phi_2,1,0.7116638460311909,0,10,0.7175373655144311
output,g114_phi_1,1,0.053040008642746495,0,10,0.0957967936048022
output,g114_Phi,1,0.4220642981362802,0,10,0.43123506524504995
output,g114_phi_2,1,0.5162973390957034,0,10,0.5204966334325443
output,g115_phi_1,1,0.14332712999204641,0,10,0.16548174282216416
output,g115_Phi,1,0.38953817733194923,0,10,0.4009349758108521
output,g115_phi_2,1,0.5233171613441978,0,10,0.5274107652926615
output,g116_phi_1,1,-1.1784864715952268,0,10,-0.5345279191265025
output,g116_Phi,1,0.4693064454311679,0,10,0.4810698065911574
output,g116_phi_2,1,0.4931372656799703,0,10,0.5236294255826328
output,g117_phi_1,1,-0.18741415804532374,0,10,-0.15146604844269376
output,g117_Phi,1,0.25638095303164105,0,10,0.26700736966435473
output,g117_phi_2,1,0.4485208164572948,0,10,0.4649513172615296
output,g118_phi_1,1,0.2218574354191367,0,10,0.23535166317741193
output,g118_Phi,1,0.3035200369072801,0,10,0.3082014606510762
output,g118_phi_2,1,0.6454026175704554,0,10,0.6537526331259994
output,g119_phi_1,1,0.16663729423180462,0,10,0.1802406009557403
output,g119_Phi,1,0.2664198658791035,0,10,0.2742733377584179
output,g119_phi_2,1,0.6146863422820126,0,10,0.6212593923832503
output,g120_phi_1,1,0.725168124078324,0,10,0.7439563722976408
output,g120_Phi,1,0.4501566954065955,0,10,0.46426593403407534
output,g120_phi_2,1,0.22010808804005508,0,10,0.26890544121201426
output,g122_phi_1,1,-0.09421490969118625,0,10,-0.0646136682685836
output,g122_Phi,1,0.32660209196364864,0,10,0.33869548901478364
output,g122_phi_2,1,0.4439979270781398,0,10,0.4577456854684917
output,g123_phi_1,1,-0.06817105255682399,0,10,0.02366391819779347
output,g123_Phi,1,0.41542411207653496,0,10,0.42662510641824725
output,g123_phi_2,1,0.6085474268671126,0,10,0.6165385266541686
output,g125_phi_1,1,0.3324990549181783,0,10,0.3694014136966243
output,g125_Phi,1,0.3969486867163377,0,10,0.40474821716461645
output,g125_phi_2,1,0.5587565562226132,0,10,0.5656589539252037
output,g126_phi_1,1,0.4133668314092984,0,10,0.43341777677002985
output,g126_Phi,1,0.36660971039242957,0,10,0.38840318355263515
output,g126_phi_2,1,0.6926266329514809,0,10,0.7009026511194759
output,g127_phi_1,1,0.44692531124274865,0,10,0.46387806452047153
output,g127_Phi,1,0.4180194057289411,0,10,0.4324240774813541
output,g127_phi_2,1,0.6544172149137143,0,10,0.6578968423463668
output,g128_phi_1,1,0.31130874600080766,0,10,0.33571859971435486
output,g128_Phi,1,0.3841562072030793,0,10,0.40330930382686836
output,g128_phi_2,1,0.6549846750356908,0,10,0.6586027797156587
output,g129_phi_1,1,0.36374356434456834,0,10,0.37309598707872704
output,g129_Phi,1,0.322405381067654,0,10,0.3338098748552258
output,g129_phi_2,1,0.6210100128289372,0,10,0.6235180561820591
output,g130_phi_1,1,-0.1377970395838307,0,10,-0.10787199132650992
output,g130_Phi,1,0.2982852854840844,0,10,0.3265406685165618
output,g130_phi_2,1,0.5200247593829069,0,10,0.5293148351531374
output,g132_phi_1,1,-0.49200927518030857,0,10,-0.3057634497726536
output,g132_Phi,1,0.38573136098878424,0,10,0.39359275016690115
output,g132_phi_2,1,0.45898514571101273,0,10,0.48036630953280945
output,g133_phi_1,1,-0.26654592685466466,0,10,-0.20960222963128505
output,g133_Phi,1,0.3302919914681564,0,10,0.3391730856339236
output,g133_phi_2,1,0.5698886706581175,0,10,0.5876548509957177
output,g134_phi_1,1,0.37772504124314793,0,10,0.39550112430562595
output,g134_Phi,1,0.3918345416932862,0,10,0.400140639757697
output,g134_phi_2,1,0.6462664557108607,0,10,0.6572758141730106
output,g135_phi_1,1,-0.12797199422631178,0,10,-0.07187566665297627
output,g135_Phi,1,0.3756818996593746,0,10,0.3919050068671565
output,g135_phi_2,1,0.4546467155768792,0,10,0.4732971528488869
output,g136_phi_1,1,0.09739615064150249,0,10,0.11042134647395632
output,g136_Phi,1,0.19705990806020826,0,10,0.2000566659722143
output,g136_phi_2,1,0.6321940036153366,0,10,0.6369390072874717
output,g137_phi_1,1,0.2195845262142547,0,10,0.23088299885759256
output,g137_Phi,1,0.2964457942063963,0,10,0.30339047411338865
output,g137_phi_2,1,0.5375924475173411,0,10,0.5427009694481107
output,g138_phi_1,1,-2.2811745793390634,0,10,-0.5477994174469075
